U+5992	妒	dù
U+52AA	努	nǔ
U+5FCD	忍	rěn
U+52B2	劲	jìn,jìng
U+77E3	矣	yǐ
U+9E21	鸡	jī
U+7EAC	纬	wěi
U+9A71	驱	qū
U+7EAF	纯	chún
U+7EB1	纱	shā
U+7EB2	纲	gāng
U+7EB3	纳	nà
U+9A73	驳	bó
U+7EB5	纵	zòng
U+7EB7	纷	fēn
U+7EB8	纸	zhǐ
U+7EB9	纹	wén
U+7EBA	纺	fǎng
U+9A74	驴	lǘ
U+7EBD	纽	niǔ
U+5949	奉	fèng
U+73A9	玩	wán
U+73AF	环	huán
U+6B66	武	wǔ
U+9752	青	qīng
U+8D23	责	zé
U+73B0	现	xiàn
U+73AB	玫	méi
U+8868	表	biǎo
U+89C4	规	guī
U+62B9	抹	mā,mǒ,mò
U+5366	卦	guà
U+5777	坷	kē,kě
U+576F	坯	pī
U+62D3	拓	tà,tuò
U+62E2	拢	lǒng
U+62D4	拔	bá
U+576A	坪	píng
U+62E3	拣	jiǎn
U+5766	坦	tǎn
U+62C5	担	dān,dàn
U+5764	坤	kūn
U+62BC	押	yā
U+62BD	抽	chōu
U+62D0	拐	guǎi
U+62D6	拖	tuō
U+8005	者	zhě
U+62CD	拍	pāi
U+9876	顶	dǐng
U+62C6	拆	chāi
U+62CE	拎	līn
U+62E5	拥	yōng
U+62B5	抵	dǐ
U+62D8	拘	jū
U+52BF	势	shì
U+62B1	抱	bào
U+62C4	拄	zhǔ
U+5783	垃	lā
U+62C9	拉	lā,lá
U+62E6	拦	lán
U+5E78	幸	xìng
U+62CC	拌	bàn
U+62E7	拧	níng,nǐng,nìng
U+62C2	拂	fú
U+62D9	拙	zhuō
U+62DB	招	zhāo
U+5761	坡	pō
U+62AB	披	pī
U+62E8	拨	bō
U+62E9	择	zé,zhái
U+62AC	抬	tái
U+62C7	拇	mǔ
U+62D7	拗	ào,niù
U+5176	其	qí
U+53D6	取	qǔ
U+8309	茉	mò
U+82E6	苦	kǔ
U+6614	昔	xī
U+82DB	苛	kē
U+82E5	若	ruò
U+8302	茂	mào
U+82F9	苹	píng
U+82D7	苗	miáo
U+82F1	英	yīng
U+82DF	苟	gǒu
U+82D1	苑	yuàn
U+82DE	苞	bāo
U+8303	范	fàn
U+76F4	直	zhí
U+8301	茁	zhuó
U+8304	茄	jiā,qié
U+830E	茎	jīng
U+82D4	苔	tāi,tái
U+8305	茅	máo
U+6789	枉	wǎng
U+6797	林	lín
U+679D	枝	zhī
U+676F	杯	bēi
U+67A2	枢	shū
U+67DC	柜	guì,jǔ
U+679A	枚	méi
U+6790	析	xī
U+677F	板	bǎn
U+677E	松	sōng
U+67AA	枪	qiāng
U+67AB	枫	fēng
U+6784	构	gòu
U+676D	杭	háng
U+6770	杰	jié
U+8FF0	述	shù
U+6795	枕	zhěn
U+4E27	丧	sāng,sàng
U+6216	或	huò
U+753B	画	huà
U+5367	卧	wò
U+4E8B	事	shì
U+523A	刺	cī,cì
U+67A3	枣	zǎo
U+96E8	雨	yǔ
U+5356	卖	mài
U+90C1	郁	yù
U+77FE	矾	fán
